cal_yr,age_yr,sex,N,x,h,pt,age_m,age_s,rate
2018,76,2,489,87,21,374.0807665982204,76,0,23.257009653597592
2018,77,1,406,78,24,301.4428473648186,77,0,25.87555176109426
2018,77,2,552,98,21,421.37713894592747,77,0,23.25707565558645
2018,78,1,407,105,30,284.73100616016427,78,0,36.876911094444125
2018,78,2,657,116,22,504.08761122518825,78,0,23.011872820691078
2018,79,1,475,124,32,332.61601642710474,79,0,37.28022520742789
2018,79,2,722,142,36,530.7433264887063,79,0,26.754928967160854
2018,80,1,518,138,54,368.1122518822724,80,0,37.48856477728277
2018,80,2,811,163,26,610.8309377138946,80,0,26.68496140847848
2018,81,1,522,151,46,347.129363449692,81,0,43.49963324894115
2018,81,2,963,211,37,716.1314168377824,81,0,29.463865854637625
2018,82,1,519,170,44,354.35728952772075,82,0,47.97417889344737
2018,82,2,1072,243,45,808.476386036961,82,0,30.056536492197658
2018,83,1,578,180,44,390.86379192334016,83,0,46.05184816794268
2018,83,2,1120,243,58,844.7145790554415,83,0,28.767113297810276
2018,84,1,609,202,55,402.4558521560575,84,0,50.19184064980918
2018,84,2,1249,292,59,905.7440109514032,84,0,32.23868957116041
2018,85,1,607,203,51,385.05407255304584,85,0,52.7198683172048
2018,85,2,1327,321,62,1001.9247091033538,85,0,32.038335523960725
2018,86,1,597,194,39,397.8398357289528,86,0,48.7633420732085
2018,86,2,1415,373,62,1027.151266255989,86,0,36.314028152795956
2018,87,1,618,225,42,411.5373032169747,87,0,54.67305107973974
2018,87,2,1504,380,69,1103.7563312799452,87,0,34.42788858654536
2018,88,1,583,214,43,380.2573579739904,88,0,56.27767497786002
2018,88,2,1471,390,68,1091.5154004106776,88,0,35.73014176925624
2018,89,1,562,200,36,367.025325119781,89,0,54.49215253326968
2018,89,2,1479,397,64,1113.037645448323,89,0,35.66815566602794
2018,90,1,509,184,35,333.95756331279944,90,0,55.0968207381659
2018,90,2,1457,443,61,1048.3258042436687,90,0,42.25785516360626
2018,91,1,401,152,28,258.258726899384,91,0,58.855707152625385
2018,91,2,1357,424,64,953.0266940451745,91,0,44.48983461316372
2018,92,1,366,153,26,230.4969199178645,92,0,66.37832733492499
2018,92,2,1267,383,51,911.9917864476386,92,0,41.99599225469447
2018,93,1,311,132,26,192.1697467488022,93,0,68.68927197606496
2018,93,2,1132,346,47,820.7830253251198,93,0,42.154867891297606
2018,94,1,260,113,21,164.51471594798085,94,0,68.6868644843482
2018,94,2,956,305,35,693.1006160164271,94,0,44.005154944599155
2018,95,1,197,79,14,125.56331279945243,95,0,62.91646679167938
2018,95,2,798,262,29,586.4531143052703,95,0,44.675353171305595
2018,96,1,134,61,16,87.3867214236824,96,0,69.80465568018047
2018,96,2,644,224,21,466.7679671457906,96,0,47.98958278343803
2018,97,1,116,61,10,65.41820670773443,97,0,93.24621243826903
2018,97,2,518,194,15,372.40520191649557,97,0,52.09379434057976
2018,98,1,80,40,2,47.709787816563995,98,0,83.84023872374613
2018,98,2,459,179,16,322.5242984257358,98,0,55.49969440247194
2018,99,1,55,26,3,35.885010266940455,99,0,72.45365072098878
2018,99,2,290,119,6,203.10198494182066,99,0,58.591254060903445
2018,ge100,1,60,32,3,35.460643394934976,102.13333333333334,4.655838931727782,90.24088943792465
2018,ge100,2,437,175,16,306.2696783025325,101.56979405034325,1.689906138119095,57.13918562553078
2019,70,1,201,41,11,147.61943874058863,70,0,27.774119959939167
2019,70,2,195,36,8,144.58590006844628,70,0,24.898693429274758
2019,71,1,252,50,12,183.45516769336072,71,0,27.254615189457816
2019,71,2,246,31,3,191.76454483230663,71,0,16.16565774820822
2019,72,1,315,71,12,231.3511293634497,72,0,30.68928178364753
2019,72,2,308,48,12,239.27994524298427,72,0,20.060185132212776
2019,73,1,322,89,20,218.38740588637918,73,0,40.753265802472235
2019,73,2,410,67,16,309.7522245037645,73,0,21.63019171447007
2019,74,1,307,82,19,205.67556468172484,74,0,39.86861547062817
2019,74,2,394,90,16,281.160848733744,74,0,32.010146649268705
2019,75,1,389,116,31,261.264887063655,75,0,44.39938382218869
2019,75,2,491,94,17,364.59411362080766,75,0,25.78209479754896
2019,76,1,380,106,26,261.1416837782341,76,0,40.59099201107127
2019,76,2,508,94,19,385.1854893908282,76,0,24.403826880566356
2019,77,1,439,130,38,284.6899383983573,77,0,45.66371426098497
2019,77,2,610,133,26,437.1006160164271,77,0,30.427776838228386
2019,78,1,486,164,34,314.735112936345,78,0,52.107309689710064
2019,78,2,706,164,25,491.2087611225188,78,0,33.38702665343842
2019,79,1,446,163,30,286.99794661190964,79,0,56.794831434949344
2019,79,2,774,185,24,557.9137577002053,79,0,33.15924682742985
2019,80,1,533,186,36,340.9308692676249,80,0,54.55651475607308
2019,80,2,838,212,35,593.4620123203285,80,0,35.722589752816454
2019,81,1,605,213,37,383.8439425051335,81,0,55.491301649797784
2019,81,2,951,260,36,663.0965092402464,81,0,39.209978694941285
2019,82,1,564,184,40,364.40246406570844,82,0,50.493621241491226
2019,82,2,1136,316,55,782.9349760438056,82,0,40.36095073907129
2019,83,1,560,212,42,348.8678986995209,83,0,60.767987192365645
2019,83,2,1207,331,45,839.088295687885,83,0,39.4475768165311
2019,84,1,627,240,44,407.27994524298424,84,0,58.92752707399217
2019,84,2,1294,356,43,896.8240930869267,84,0,39.69563292781586
2019,85,1,660,241,44,414.9514031485284,85,0,58.07909026728512
2019,85,2,1362,390,66,966.9514031485284,85,0,40.33294731566713
2019,86,1,631,251,30,385.0513347022587,86,0,65.18611348122867
2019,86,2,1487,407,51,1055.5975359342915,86,0,38.55636131622562
2019,87,1,631,265,39,389.19917864476383,87,0,68.08853012556716
2019,87,2,1466,454,66,1017.0787132101301,87,0,44.63764643810836
2019,88,1,613,261,54,368.65982203969884,88,0,70.79697444542639
2019,88,2,1556,488,71,1108.0739219712525,88,0,44.04038307587393
2019,89,1,551,239,29,334.9377138945927,89,0,71.35655081088152
2019,89,2,1538,480,77,1070.52977412731,89,0,44.83761326407697
2019,90,1,549,253,41,331.0746064339493,90,0,76.41782096340708
2019,90,2,1482,482,64,1041.141683778234,90,0,46.29533208687352
2019,91,1,488,202,23,304.76386036960986,91,0,66.2808246866999
2019,91,2,1404,455,59,970.2614647501712,91,0,46.89457600144474
2019,92,1,369,183,28,221.24298425735796,92,0,82.71448724770757
2019,92,2,1266,466,43,856.1587953456536,92,0,54.42915526107089
2019,93,1,315,140,24,192.09582477754964,93,0,72.8802930319399
2019,93,2,1177,438,46,813.5304585900069,93,0,53.839410113683016
2019,94,1,270,126,17,159.03080082135523,94,0,79.2299349240781
2019,94,2,1042,388,43,719.3483915126626,94,0,53.937703146052016
2019,95,1,211,99,10,127.52361396303901,95,0,77.63268066469149
2019,95,2,816,319,16,563.9890485968515,95,0,56.56138196187323
2019,96,1,178,89,12,105.40451745379877,96,0,84.43660874308424
2019,96,2,685,253,18,479.9096509240246,96,0,52.718256345307985
2019,97,1,100,55,6,60.506502395619435,97,0,90.89932126696833
2019,97,2,538,230,16,361.38535249828885,97,0,63.643974059819996
2019,98,1,76,33,2,48.3066392881588,98,0,68.31359102244389
2019,98,2,399,200,17,255.09103353867215,98,0,78.40338299059803
2019,99,1,55,24,3,34.18754277891855,99,0,70.2010090494114
2019,99,2,335,157,11,233.21834360027378,99,0,67.3188899193501
2019,ge100,1,80,48,5,42.403832991101986,101.675,4.227022772470873,113.19731404958678
2019,ge100,2,494,270,13,304.0520191649555,101.54655870445345,1.884294623133527,88.80059430012157
